410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,Brix Values,Class
1.183398705,1.498667569,1.317302377,1.45435585,1.298597685,1.101027725,1.202778445,1.055040291,0.803380706,0.544328189,0.330912757,0.206261923,0.148654401,0.235738659,0.274094356,0.193780778,0.138620991,0.248145744,13.66666667,1
1.417575672,1.618800263,1.142420291,1.472618179,1.083221401,0.898822148,1.091596104,0.975856572,0.857711788,0.526232338,0.567517022,0.253021862,0.277945289,0.382269022,0.480656249,0.466387277,0.32106805,0.433453899,13.675,1
0.99767231,1.301999134,1.017933744,1.185788473,0.878373644,0.792916469,0.872391001,0.595299105,0.569773486,0.263062724,0.564147135,0.151659239,0.324850727,0.428227707,0.558918501,0.625837034,0.3544008,0.43703328,13.7,1
1.067110749,1.418306351,1.126084312,1.297838203,0.944072632,0.84548384,0.931967502,0.683796636,0.613520864,0.31069175,0.575228294,0.16804731,0.3234046,0.423813326,0.550875386,0.607092255,0.365472779,0.457559322,13.725,1
1.163416896,1.549624569,1.234686073,1.492195763,1.134851677,0.946980069,1.109112936,1.019599686,0.863605447,0.556571405,0.444471769,0.236074052,0.260462887,0.357409679,0.446651741,0.40788986,0.287772691,0.395680481,13.75,1
1.331324767,1.649738298,1.198664348,1.644033832,1.206430444,0.976301537,1.114599992,0.988799046,0.84557184,0.5360689,0.61374105,0.261705681,0.318178656,0.413743464,0.538353422,0.537767843,0.350745141,0.449944892,14.025,1
1.03121467,1.411316489,1.183425127,1.367815964,1.196097037,0.941875016,1.084824446,0.820171018,0.537425143,0.352282333,0.237052587,0.13872255,0.11483738,0.185234877,0.236523947,0.177048869,0.139935132,0.240503638,14.03333333,1
1.307153298,1.677870614,1.345727639,1.616140767,1.203917322,0.98183536,1.329171632,1.177821231,1.1629552,0.709235281,0.604681804,0.29633594,0.332775869,0.435257674,0.519275888,0.45788305,0.324708689,0.417399671,14.05,1
1.151176129,1.552020695,1.350088147,1.612436571,1.275471218,0.937903221,1.303548928,1.136996857,1.039693361,0.622636134,0.591919465,0.255779647,0.251321855,0.374217717,0.457781918,0.400777291,0.297728391,0.408289508,14.1,1
1.05779321,1.519061269,1.244085257,1.554594342,1.110615428,0.882105462,1.248949394,1.11724618,0.945750682,0.480402754,0.339050228,0.199863714,0.301071254,0.402129959,0.50666188,0.456632553,0.323555828,0.420067034,14.175,1
1.051470154,1.14732391,0.954416529,1.072076545,0.761014136,0.540086639,0.808000368,0.606735372,0.187449708,0.272183532,0.077690231,0.17945326,0.054352728,0.093288044,0.124592744,0.094754138,0.179380982,0.266359092,14.23333333,1
1.237310526,1.506154064,1.161480392,1.43251031,1.127428372,0.912423757,1.007583021,0.853092775,0.716946967,0.537269101,0.517196935,0.298202497,0.357221702,0.419925382,0.521607826,0.518796752,0.355182112,0.439634348,14.475,1
1.445431595,1.705279034,1.253481114,1.613809877,1.237486932,0.975557333,1.210073921,1.155712934,1.034725127,0.521939511,0.566636455,0.242108821,0.351309399,0.444951285,0.551826554,0.548782858,0.34718808,0.46107836,14.53333333,1
1.013420756,1.302765453,1.049253322,1.211657289,0.94481144,0.690357945,0.777141166,0.617390739,0.446766548,0.43877234,0.434431775,0.180054986,0.097286424,0.180496252,0.292806561,0.27559503,0.264147768,0.354818311,14.6,1
1.376308555,1.645183308,1.273118458,1.553550871,1.163198076,0.93991824,1.166273058,1.038284028,0.782547052,0.47006083,0.434588143,0.210206411,0.297593475,0.392459307,0.502714008,0.51591688,0.332411583,0.437993904,14.75,1
1.138842069,1.451521401,1.23320516,1.437651663,1.155729336,0.939100581,1.135678085,0.886402794,0.590609211,0.393999185,0.393534748,0.167104419,0.230428899,0.329166806,0.438765824,0.419228036,0.305919056,0.403043297,14.8,1
1.519548417,1.729845538,1.310262463,1.556097622,1.147752192,0.963629826,1.20322208,1.179223906,0.90804644,0.535847287,0.400848452,0.20814112,0.306787907,0.409994205,0.512180048,0.510212931,0.335289536,0.440982176,14.975,1
1.138700765,1.479810891,1.092925618,1.422598454,0.972428767,0.824560037,1.11504411,0.83407331,0.696134708,0.384006015,0.610183674,0.190905135,0.312055807,0.425828973,0.557014961,0.628844847,0.270198103,0.38047667,15.175,1
1.042080022,1.441706787,1.20099098,1.525659731,1.13635816,0.884691598,1.114830074,0.904095487,0.646452601,0.412719748,0.45299174,0.211179836,0.267191663,0.355774353,0.460671132,0.458968315,0.330672954,0.431578272,15.525,1
1.165696567,1.412890425,1.230790046,1.367580825,1.172928838,0.965542542,0.911445747,0.720366307,0.468736259,0.351159188,0.197565562,0.125911285,0.15119498,0.213156024,0.296095354,0.255880404,0.3015574,0.413359726,15.575,1
1.025631338,1.481508279,1.222587346,1.540222862,1.106938639,0.896135243,1.188676977,1.069500211,0.993964082,0.549266566,0.542591876,0.232007226,0.29749531,0.408824627,0.50117601,0.470680597,0.329993175,0.434039944,15.85,1
